FILENAME	MARKER_MGI_ID	ALLELE_MGI_ID	COMMENTS
Mutagenetix.xlsx	MGI:101913		
Mutagenetix.xlsx	MGI:101914		
Mutagenetix.xlsx	MGI:101914		
Mutagenetix.xlsx	MGI:101916		
Mutagenetix.xlsx	MGI:101918		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101919		
Mutagenetix.xlsx	MGI:101920		
Mutagenetix.xlsx	MGI:101921		
Mutagenetix.xlsx	MGI:101921		
Mutagenetix.xlsx	MGI:101921		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101922		
Mutagenetix.xlsx	MGI:101924		
Mutagenetix.xlsx	MGI:101924		
Mutagenetix.xlsx	MGI:101924		
Mutagenetix.xlsx	MGI:101924		
Mutagenetix.xlsx	MGI:101924		
Mutagenetix.xlsx	MGI:101924		
Mutagenetix.xlsx	MGI:101925		
Mutagenetix.xlsx	MGI:101925		
Mutagenetix.xlsx	MGI:101926		
Mutagenetix.xlsx	MGI:101927		
Mutagenetix.xlsx	MGI:101929		
Mutagenetix.xlsx	MGI:101931		
Mutagenetix.xlsx	MGI:101931		
Mutagenetix.xlsx	MGI:101931		
Mutagenetix.xlsx	MGI:101932		
Mutagenetix.xlsx	MGI:101932		
Mutagenetix.xlsx	MGI:101932		
Mutagenetix.xlsx	MGI:101932		
Mutagenetix.xlsx	MGI:101934		
Mutagenetix.xlsx	MGI:101938		
Mutagenetix.xlsx	MGI:101938		
Mutagenetix.xlsx	MGI:101939		
Mutagenetix.xlsx	MGI:101939		
Mutagenetix.xlsx	MGI:101940		
Mutagenetix.xlsx	MGI:101940		
Mutagenetix.xlsx	MGI:101940		
Mutagenetix.xlsx	MGI:101941		
Mutagenetix.xlsx	MGI:101946		
Mutagenetix.xlsx	MGI:101946		
Mutagenetix.xlsx	MGI:101947		
Mutagenetix.xlsx	MGI:101947		
Mutagenetix.xlsx	MGI:101947		
Mutagenetix.xlsx	MGI:101948		
Mutagenetix.xlsx	MGI:101948		
Mutagenetix.xlsx	MGI:101950		
Mutagenetix.xlsx	MGI:101950		
Mutagenetix.xlsx	MGI:101950		
Mutagenetix.xlsx	MGI:102462	MGI:4442912	Blnk<m1Btlr>
Mutagenetix.xlsx	MGI:102462		
